epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
48,0.502253532409668,0.0006548539968207479,1.5652289390563965,0.40692541003227234,1.7489954233169556
49,0.5060640573501587,0.0005786390393041074,1.5501880645751953,0.4441087543964386,1.6579556465148926
50,0.5166352391242981,0.0005005000275559723,1.523769497871399,0.5447362065315247,1.4796624183654785
51,0.5245431661605835,0.0004223609867040068,1.5206815004348755,0.4687427282333374,1.6331291198730469
52,0.540113091468811,0.0003461460000835359,1.4916003942489624,0.5254473686218262,1.5141924619674683
53,0.5439646244049072,0.0002737317408900708,1.470805287361145,0.5503137111663818,1.4659578800201416
54,0.5540850758552551,0.00020690126984845847,1.4479962587356567,0.5642575025558472,1.4321792125701904
55,0.5595754981040955,0.00014730016118846834,1.428227186203003,0.5658842921257019,1.420867681503296
56,0.5660902857780457,9.639601194066927e-05,1.4142143726348877,0.5675110220909119,1.4172000885009766
57,0.5721544027328491,5.544224040932022e-05,1.4065731763839722,0.5612363219261169,1.4301385879516602
58,0.5759649276733398,2.544727067288477e-05,1.3863180875778198,0.573088526725769,1.4061203002929688
59,0.5769073367118835,7.149673820094904e-06,1.3895560503005981,0.5816872119903564,1.3931831121444702
